grid,skyvector_url,lsalt_100ft
"[[152.5,-25.5],[153.0,-25.5],[153.0,-25.0],[152.5,-25.0],[152.5,-25.5]]",https://skyvector.com/?fpl=2530S15230E%202530S15300E%202500S15300E%202500S15230E%202530S15230E,13
"[[151.0,-26.0],[151.5,-26.0],[151.5,-25.5],[151.0,-25.5],[151.0,-26.0]]",https://skyvector.com/?fpl=2600S15100E%202600S15130E%202530S15130E%202530S15100E%202600S15100E,28
"[[151.0,-25.5],[151.5,-25.5],[151.5,-25.0],[151.0,-25.0],[151.0,-25.5]]",https://skyvector.com/?fpl=2530S15100E%202530S15130E%202500S15130E%202500S15100E%202530S15100E,29
"[[151.5,-26.0],[152.0,-26.0],[152.0,-25.5],[151.5,-25.5],[151.5,-26.0]]",https://skyvector.com/?fpl=2600S15130E%202600S15200E%202530S15200E%202530S15130E%202600S15130E,28
"[[151.5,-25.5],[152.0,-25.5],[152.0,-25.0],[151.5,-25.0],[151.5,-25.5]]",https://skyvector.com/?fpl=2530S15130E%202530S15200E%202500S15200E%202500S15130E%202530S15130E,34
"[[150.0,-26.0],[150.5,-26.0],[150.5,-25.5],[150.0,-25.5],[150.0,-26.0]]",https://skyvector.com/?fpl=2600S15000E%202600S15030E%202530S15030E%202530S15000E%202600S15000E,28
"[[150.0,-25.5],[150.5,-25.5],[150.5,-25.0],[150.0,-25.0],[150.0,-25.5]]",https://skyvector.com/?fpl=2530S15000E%202530S15030E%202500S15030E%202500S15000E%202530S15000E,28
"[[150.5,-26.0],[151.0,-26.0],[151.0,-25.5],[150.5,-25.5],[150.5,-26.0]]",https://skyvector.com/?fpl=2600S15030E%202600S15100E%202530S15100E%202530S15030E%202600S15030E,27
"[[150.5,-25.5],[151.0,-25.5],[151.0,-25.0],[150.5,-25.0],[150.5,-25.5]]",https://skyvector.com/?fpl=2530S15030E%202530S15100E%202500S15100E%202500S15030E%202530S15030E,27
"[[149.0,-26.0],[149.5,-26.0],[149.5,-25.5],[149.0,-25.5],[149.0,-26.0]]",https://skyvector.com/?fpl=2600S14900E%202600S14930E%202530S14930E%202530S14900E%202600S14900E,29
"[[149.0,-25.5],[149.5,-25.5],[149.5,-25.0],[149.0,-25.0],[149.0,-25.5]]",https://skyvector.com/?fpl=2530S14900E%202530S14930E%202500S14930E%202500S14900E%202530S14900E,34
"[[149.5,-26.0],[150.0,-26.0],[150.0,-25.5],[149.5,-25.5],[149.5,-26.0]]",https://skyvector.com/?fpl=2600S14930E%202600S15000E%202530S15000E%202530S14930E%202600S14930E,23
